,video_name,question,answer
54,0Zg9UgCp4a4,человек в видеоиграх играет в помещении,нет
55,ffGPrFNbQkA,человек в видеоиграх играет в помещении,нет
56,cTbkhIaj_Xc,человек на видео играет в футбол в помещении,нет
57,XQ0_P0LpCFM,человек на видео играет в футбол в помещении,нет
58,0S0fNrI4oVs,человек на видео играет в футбол в помещении,да
59,XQ0_P0LpCFM,люди в видео играют на улице,да
60,0S0fNrI4oVs,люди в видео играют на улице,нет
61,cTbkhIaj_Xc,люди в видео играют на улице,да
62,jCd-VeMUwRg,человек в черном это женщина,да
63,J7GJKAoU0rE,человек в черном это женщина,нет
64,lx83HHNNrlc,человек в черном это женщина,да
65,nxNJNn8blDw,человек в черном это женщина,нет
66,a7oaRcmRZ5k,человек в черном это женщина,нет
67,HEuC9ZEY91E,человек в черном это женщина,нет
68,nrC41oAR-F0,у человека в черном светлые волосы,нет
69,nxyENrsY4mo,у человека в черном светлые волосы,нет
70,ZL7xefcDWYc,человек в черном играет в помещении,да
71,wUg9S2xx850,человек в черном играет в помещении,нет
72,aJsDVKt5Igs,у человека в черном короткие волосы,нет
73,x39KxoQHEp4,у человека в черном короткие волосы,да
74,WYcTPQSXwRc,у человека в черном короткие волосы,да
75,n0Az4cLruf4,у человека в черном короткие волосы,да
76,ohNtDBYmhX0,у человека в черном короткие волосы,да
77,aINlF3UDJ7s,у человека в черном короткие волосы,нет
78,Xa1yH3vxlAk,у человека в черном короткие волосы,да
79,XP8pufIBsnM,у человека в черном короткие волосы,да
80,x0cSfzhQRAs,у человека в черном короткие волосы,да
81,ORI5ZNZARw8,человек в черных штанах делает зарядку в помещении,да
82,xOGOd2UJaMY,у человека в черных штанах длинные волосы,нет
83,a6lCnOqNaMY,у человека в черных штанах длинные волосы,да
84,x--RoqrwiLI,у человека в черных штанах длинные волосы,нет
85,XnBUb3qoFQM,у человека в черных штанах длинные волосы,нет
86,ORI5ZNZARw8,человек в черных штанах занимается спортом на свежем воздухе,нет
87,xOGOd2UJaMY,у человека в черных штанах короткие волосы,да
88,x--RoqrwiLI,у человека в черных штанах короткие волосы,да
89,XnBUb3qoFQM,у человека в черных штанах короткие волосы,да
90,m5YvKrjGtPM,человек в черных штанах занимается тяжелой атлетикой в ​​помещении,нет
91,m5YvKrjGtPM,человек в черных штанах занимается тяжелой атлетикой в ​​помещении,да
92,GvRPOGpObyU,у человека в черной футболке длинные волосы,да
93,XNzQVEmoJrY,у человека в зеленом длинные волосы,нет
94,q4FZTmaqEx8,человек в зеленом человек,да
95,h7cetqsBVn0,человек в зеленом человек,да
96,loUYsxA2RHg,человек в зеленом человек,да
97,jAlYwQevBxA,человек в зеленом человек,да
98,ytvIoI5uwFA,у человека в зеленом короткие волосы,да
99,NVNUT5iwLtw,у человека в зеленом короткие волосы,нет
100,XNzQVEmoJrY,у человека в зеленом короткие волосы,да
101,mvomkmq32vU,у человека в зеленом короткие волосы,да
102,q4FZTmaqEx8,человек в зеленом женщина,нет
103,h7cetqsBVn0,человек в зеленом женщина,нет
104,loUYsxA2RHg,человек в зеленом женщина,нет
105,jAlYwQevBxA,человек в зеленом женщина,нет
106,b5GrYqt5tRQ,все люди на видео в шляпах,нет
107,AAQp3iEJxJc,все люди на видео в шляпах,да
108,srXhWAGzd-s,человек на видео носит одежду с длинными рукавами,нет
109,bQa8S4Z-1cE,человек на видео носит одежду с длинными рукавами,да
110,Aqx7rM9gZgg,человек на видео носит одежду с длинными рукавами,нет
111,1WR4jgFCqRw,человек на видео носит одежду с длинными рукавами,нет
112,b2eonKWCocE,все люди на видео в брюках?,да
113,JWb0-VdfZI4,человек в розовом играет в игры на улице,да
114,Y7yGeNl7POk,человек в розовом играет в игры на улице,да
115,NGF0rQiDxNk,человек в красной одежде играет в помещении,да
116,DOONG5zq1Yg,человек в красной одежде играет на улице,нет
117,WlYhEPyLcBc,человек в красной одежде играет на улице,нет
118,NGF0rQiDxNk,человек в красной одежде играет на улице,да
119,zTrI4pPFIlw,человек в красной одежде играет на улице,нет
120,6ciZ58xAV9I,человек в красных штанах играет на улице,нет
121,k2vkwy2vdP4,человек в красных шортах играет в помещении,нет
122,bQa8S4Z-1cE,человек на видео в футболке,нет
123,Aqx7rM9gZgg,человек на видео в футболке,да
124,1WR4jgFCqRw,человек на видео в футболке,да
125,IqRwR1a9ia0,человек в футболке в помещении,да
126,v26OP6f29Qc,человек в футболке в помещении,да
127,IqRwR1a9ia0,человек в футболке на улице,нет
128,bMRx3vSVZUQ,все люди на видео в солнцезащитных очках,нет
129,pxt1-L_-H74,все люди на видео в солнцезащитных очках,да
130,9_wuEvN2OnQ,это человек в темных очках в помещении,да
131,rV9RzL8o7tk,это человек в темных очках в помещении,да
132,9_wuEvN2OnQ,это человек в темных очках на улице,нет
133,rV9RzL8o7tk,это человек в темных очках на улице,нет
134,kOIj7AgonHM,человек в футболке в помещении,да
135,joehK-w2bCc,человек в футболке в помещении,да
136,nlkmPF8TBdQ,у человека в белой одежде кудрявые волосы,нет
137,x3cOxXOYbwA,у человека в белой одежде длинные волосы,нет
138,NW42KGlKi_c,у человека в белой одежде длинные волосы,нет
139,xYuqZ_RrCC0,у человека в белой одежде длинные волосы,нет
140,-AaOr1DI2no,у человека в белой одежде длинные волосы,да
141,XkTWEDKtP1A,у человека в белой одежде длинные волосы,нет
142,XnBUb3qoFQM,у человека в белой одежде длинные волосы,да
143,OrVgspx6Axs,у человека в белой одежде длинные волосы,нет
144,NXFnVeZen1U,это человек в белых штанах,нет
145,NouHsmaE-xA,человек в белой одежде мужчина,да
146,-AaOr1DI2no,человек в белой одежде мужчина,нет
147,PMy2EyktRmo,человек в белой одежде играет в помещении,да
148,ZwIu2pPxB3Y,человек в белой одежде играет в помещении,да
149,Nk4p-ah_PkA,человек в белой одежде играет в помещении,нет
150,Nk4p-ah_PkA,человек в белой одежде играет на улице,да
151,x3cOxXOYbwA,у человека в белой одежде короткие волосы,да
152,nlkmPF8TBdQ,у человека в белой одежде короткие волосы,да
153,w--HmpjK-s8,у человека в белой одежде короткие волосы,нет
154,NXFnVeZen1U,у человека в белой одежде короткие волосы,да
155,N6vpa6BarX4,у человека в белой одежде короткие волосы,нет
156,nPTq63WtemI,у человека в белой одежде короткие волосы,нет
157,14AnvDNV5BI,у человека в белой одежде короткие волосы,да
158,XkTWEDKtP1A,у человека в белой одежде короткие волосы,да
159,xYuqZ_RrCC0,у человека в белой одежде короткие волосы,да
160,pbeQcGC3nXY,человек в белом с длинными рукавами,да
161,GPl7nFwqSgk,"это человек в белой одежде, в туфлях",нет
162,UBDcmeET6ys,человек в белых шортах занимается спортом на свежем воздухе,нет
163,y0VZOcxbjRM,человек в белых шортах занимается спортом на свежем воздухе,нет
164,gBOWkZBlc8g,человек в белых шортах играет в футбол в помещении,нет
165,gBOWkZBlc8g,человек в белых шортах играет в футбол на улице,да
166,OhPSVjVQZ8o,человек в белых шортах играет в помещении,нет
167,y0VZOcxbjRM,человек в белых шортах играет в помещении,да
168,AG6Rpvxxetg,человек в белых штанах женщина,нет
169,ZNUkzdw2EeI,человек в желтом метает диск на улице,да
170,EZZzVXqxG6U,человек в желтом метает диск на улице,да
171,8miqQQJEsO0,парень с желтыми волосами на улице,нет
172,7oBW5W6Fdok,это спортсмен на видео в помещении,нет
173,5xgBlI9Xx0I,это спортсмен на видео в помещении,да
174,ReOsTqcQBmY,это спортсмен на видео в помещении,да
175,_cU5aISTDBo,это спортсмен на видео в помещении,нет
176,5ZmZr2bguy0,это спортсмен на видео в помещении,да
177,5bZ2FdbAKiQ,это спортсмен на видео в помещении,да
178,J5wZTdD4XeU,это спортсмен на видео в помещении,да
179,5vlGKyxl22M,это спортсмен на видео в помещении,нет
180,UxhKb-zZoWE,спортсмены в помещении,да
181,sOyox_6AG1w,спортсмены в помещении,нет
182,sO7ZGxFwbm8,спортсмены в помещении,нет
183,RNxHKDlWAGQ,спортсмен на открытом воздухе,да
184,C-M4L_WDzK8,спортсмен на открытом воздухе,да
185,t_2jTjX3a_o,спортсмен на открытом воздухе,нет
186,8eqO6e2wWmY,спортсмен на открытом воздухе,нет
187,8hkVzhEKqpY,спортсмен на открытом воздухе,да
188,AoRk69eieek,спортсмен на открытом воздухе,да
189,2NAbdlHXcTI,спортсмен на открытом воздухе,да
190,RsHk6sq_9IY,спортсмен на открытом воздухе,нет
191,BJWL_X79HRc,спортсмен на открытом воздухе,да
192,-rwKyNnz89s,спортсмен на открытом воздухе,нет
193,aT-0XxCqV5E,спортсмен на открытом воздухе,да
194,6cha8sVi65k,спортсмен на открытом воздухе,нет
195,cM67XJS7yM8,спортсмен на открытом воздухе,нет
196,rt1kYX3slRI,спортсмен на открытом воздухе,нет
197,SQncxXAlBFE,спортсмен на открытом воздухе,нет
198,UxhKb-zZoWE,спортсмен на открытом воздухе,нет
199,8KPk9pH4wWw,спортсмен на открытом воздухе,да
200,62h9hnNTKWM,спортсмен на открытом воздухе,нет
201,YIb8sArOPww,спортсмен на открытом воздухе,нет
202,1JeK3U_nUUc,спортсмен на открытом воздухе,да
203,c5Io6wg8D60,спортсмен на открытом воздухе,да
204,cyJAifECfH0,спортсмен на открытом воздухе,нет
205,T_CvR3zm6K8,спортсмен на открытом воздухе,да
206,ckzLOLHjP44,спортсмен на открытом воздухе,да
207,ruHObln9mwI,спортсмен на открытом воздухе,нет
208,rmGvgGOkqyk,спортсмен на открытом воздухе,нет
209,k2U1lOpLqdk,спортсмен на открытом воздухе,нет
210,s07U8_fkUWU,спортсмен на открытом воздухе,нет
211,clUgEizjVkM,спортсмен на открытом воздухе,нет
212,-ux1hQSR1AM,спортсмен на открытом воздухе,нет
213,sOyox_6AG1w,спортсмен на открытом воздухе,да
214,bNwrAuu0qiQ,спортсмен на открытом воздухе,нет
215,2DtotlMv9Gg,спортсмен на открытом воздухе,да
216,rse-MW1helQ,спортсмен на открытом воздухе,нет
217,0_BvBpwDMpU,спортсмен на открытом воздухе,нет
218,MewROhYmQP0,спортсмен на открытом воздухе,да
219,agZNSscDJww,спортсмен на открытом воздухе,да
220,YuCMWTdK_DY,спортсмен на открытом воздухе,да
221,T8wY9ZQv8vQ,спортсмен на открытом воздухе,нет
222,JNr0oI927ng,спортсмен на открытом воздухе,нет
223,RW7LEc-Ykh8,спортсмен на открытом воздухе,нет
224,8GJWokVCzUM,спортсмен на открытом воздухе,да
225,2i_rotAjuoE,спортсмен на открытом воздухе,да
226,sO7ZGxFwbm8,спортсмен на открытом воздухе,да
227,CDWHstJThJA,спортсмен на открытом воздухе,нет
228,_3hVtPVXTmg,спортсмен на открытом воздухе,нет
229,Zzcj8Eea3Mc,человек играет в помещении,да
230,w--HmpjK-s8,Барабанщик носит одежду с длинными или короткими рукавами?,длинный
231,WSKx2EK_Bqc,Барабанщик носит одежду с длинными или короткими рукавами?,длинный
232,-wWtZjqIH9o,человек в синей одежде мужчина,нет
233,x0HMqVvqHJE,человек в синей одежде мужчина,нет
234,G4kjV4ulJzo,мужчина на видео на улице,да
235,QaNQrUpmmgo,человек в оранжевой одежде на улице,нет
236,GA8XzZTETPE,человек в черных штанах танцует в помещении,да
237,jcqRPdvb18w,человек в черных штанах в помещении,да
238,wC-k0Zfx-cM,человек в черных штанах в помещении,нет
239,Nj_fvFbf56I,человек в черных штанах в помещении,нет
240,8ErMpNsK3_c,человек в черных штанах в помещении,нет
241,5HW6mjZZvtY,человек в черных штанах в помещении,да
242,jcqRPdvb18w,это человек в черных штанах на улице,нет
243,wC-k0Zfx-cM,это человек в черных штанах на улице,да
244,Nj_fvFbf56I,это человек в черных штанах на улице,да
245,8ErMpNsK3_c,это человек в черных штанах на улице,да
246,yo3s6V19YtQ,человек в синих штанах в помещении,нет
247,EOradtej9GU,человек в синих штанах в помещении,нет
248,yo3s6V19YtQ,человек в синих штанах на улице,да
249,EOradtej9GU,человек в синих штанах на улице,да
250,MO8Dfz2Lp3w,человек в синих шортах на улице,да
251,KNpeiKm3xyM,человек в синих шортах на улице,да
252,_zR5wVbz3xU,человек в серых штанах в помещении,да
253,makIgB4X3q8,человек в серых штанах в помещении,да
254,ipYVfTYZze8,это человек в зеленой одежде в помещении,нет
255,e34P8tr-Mi4,это человек в зеленой одежде в помещении,да
256,N5J9Zb07uuQ,это человек в зеленой одежде в помещении,да
257,8eGaK2mVEhY,человек в оранжевой одежде в помещении,да
258,0DEF7Mp7ZP4,человек в оранжевой одежде в помещении,да
259,jhakEVLCqNM,человек в оранжевых штанах в помещении,нет
260,snG89ed-64M,человек в красной одежде в помещении,нет
261,MNSDK-vCwTM,человек в красной одежде в помещении,да
262,qvLFSqPCvn8,человек в красной одежде в помещении,нет
263,MlxMV7WH9-g,человек в красной одежде в помещении,да
264,D707ZMWH7jQ,человек в красной одежде в помещении,да
265,SSqVGeD2XaQ,человек в красной одежде в помещении,нет
266,ubgCjUUmP9I,человек в красных штанах в помещении,да
267,eGTZNTfgg24,человек в красных штанах в помещении,нет
268,sOUNe30PXY4,человек в красных штанах в помещении,да
269,wP0jr86MNOw,человек в красных штанах в помещении,нет
270,6ciZ58xAV9I,человек в красных штанах играет в помещении,да
271,xwSeXFkTNlE,человек в красных штанах играет в помещении,да
272,8eGaK2mVEhY,человек в оранжевой одежде на улице,нет
273,0DEF7Mp7ZP4,человек в оранжевой одежде на улице,нет
274,KYtV2vpwuVw,человек в гоночном костюме в помещении,нет
275,mTmcz5NWNQA,человек в гоночном костюме в помещении,нет
276,yJN4jnk_S1U,человек в платье в помещении,да
277,yJN4jnk_S1U,человек в платье на улице,нет
278,csxC5H5uDb4,человек на видео китаец,нет
279,czh5nNO_Eow,человек на видео китаец,нет
280,CteuM2BUmHo,человек на видео китаец,нет
281,Cy56IkwsQVs,человек на видео китаец,нет
282,Mzojo2EeWu8,это человек в желтой одежде в помещении,нет
283,UoX2xhYPD38,это человек в желтой одежде в помещении,да
284,StM48dIvK-M,это человек в желтой одежде в помещении,да
285,ZNUkzdw2EeI,человек в желтой одежде метает диск в помещении,нет
286,EZZzVXqxG6U,человек в желтой одежде метает диск в помещении,нет
287,rfxXEgc9RTQ,человек в желтых штанах в помещении,да
288,JiZCjH6ePq0,человек на корте в помещении,да
289,aWz9H0jTv3c,человек на корте в помещении,да
290,JiZCjH6ePq0,человек на корте на открытом воздухе,нет
291,aWz9H0jTv3c,человек на корте на открытом воздухе,нет
292,B2qCBkXrb8s,человек на корте в помещении,нет
293,JNvwkiz8Bzw,человек на корте в помещении,да
294,mRe2xY_amWw,человек на сцене в помещении,да
295,2R_TVXvocQs,человек на сцене в помещении,да
296,8ao9LZLn0Hs,человек на сцене в помещении,да
297,mRe2xY_amWw,человек на сцене на открытом воздухе,нет
298,2R_TVXvocQs,человек на сцене на открытом воздухе,нет
299,8ao9LZLn0Hs,человек на сцене на открытом воздухе,нет
300,B2qCBkXrb8s,человек на корте на открытом воздухе,да
301,JNvwkiz8Bzw,человек на корте на открытом воздухе,нет
302,RI8IORq_BbY,"это человек, стоящий на улице",нет
303,_Xydl5mYkQ8,"это человек, стоящий на улице",нет
304,rHUCx_JqNk4,"это человек, стоящий на улице",нет
305,1JEQbXJC85w,"это человек, стоящий на улице",нет
306,8BAn48zfc68,"это человек, стоящий на улице",да
307,AXDa8WmY2og,"это человек, стоящий на улице",нет
308,_9v34KLET0g,"это человек, стоящий на улице",нет
309,JviFZ5Cliug,"это человек, стоящий на улице",нет
310,JNBWPj42n-g,"это человек, стоящий на улице",нет
311,8ATFQNEWHL0,"это человек, стоящий на улице",нет
312,Jmip8PuILhM,"это человек, стоящий на улице",нет
313,6sorAV7KJxA,"это человек, стоящий на улице",да
314,saMBbZcDAjM,"это человек, стоящий на улице",да
315,rR1R-x_UlOM,"это человек, стоящий на улице",нет
316,RTIzzeNaH2Q,"это человек, стоящий на улице",нет
317,_BWSmg81iMM,"это человек, стоящий на улице",нет
318,7YOV0kZQIAo,"это человек, стоящий на улице",нет
319,RW-nnJiVPsU,"это человек, стоящий на улице",нет
320,b3bawTEPLtA,"это человек, стоящий на улице",нет
321,rcqXzX-7ULg,"это человек, стоящий на улице",нет
322,makIgB4X3q8,это человек в серых штанах на улице,нет
323,K1z2fiB9pUM,человек в шлеме на улице,да
324,jhakEVLCqNM,парень в оранжевых штанах на улице,да
325,8jJdHFW-lys,игрок в помещении,да
326,8Yfm6gbKRho,игрок в помещении,нет
327,8d7FyPzxzjg,игрок в помещении,нет
328,SSLcbqaBiRM,игрок в помещении,нет
329,SHS8pNOsZDU,игрок в помещении,нет
330,sQZaEt-ssCs,игрок в помещении,да
331,8jJdHFW-lys,игрок на улице,нет
332,8Yfm6gbKRho,игрок на улице,да
333,8d7FyPzxzjg,игрок на улице,да
334,2_Tgrk8iJpE,"это человек, играющий в вышибалы на открытом воздухе",нет
335,7c5vvEn3uLk,всадник в помещении,нет
336,rMevLL0KHzc,всадник в помещении,нет
337,srR0M_HL3Ao,всадник в помещении,нет
338,i9t0zZzzbhE,всадник в помещении,нет
339,7c5vvEn3uLk,всадник на открытом воздухе,да
340,rMevLL0KHzc,всадник на открытом воздухе,да
341,srR0M_HL3Ao,всадник на открытом воздухе,да
342,i9t0zZzzbhE,всадник на открытом воздухе,да
343,slUvIngXl4g,зрители смотрят игру в помещении,да
344,QsRW8dj-F7M,зрители смотрят игру в помещении,да
345,slUvIngXl4g,зрители смотрят игру на открытом воздухе,нет
346,QsRW8dj-F7M,зрители смотрят игру на открытом воздухе,нет
347,AS0hqTk_mIs,это человек в полосатой одежде в помещении,да
348,hs81dVKvvdw,это человек в полосатой одежде в помещении,да
349,2glmVDTPY44,это человек в полосатой одежде в помещении,нет
350,dI6TWaB6tls,много ли людей в аудитории,да
351,dJVTlZWqYOs,много ли людей в аудитории,да
352,eQnwUWfah9w,есть большая аудитория у игры,нет
353,dKwPfFN7DpM,много ли людей на трибунах,нет
354,DqHWMWY-r1o,много ли людей на трибунах,да
355,FaKQvJBhMPg,Они в помещении,нет
356,MTC0fs4QyEY,у человека в синих штанах короткие волосы,да
357,XSDIekFXkv0,у человека в синих штанах короткие волосы,да
358,kuyuhXuMPX4,человек в очках в помещении,нет
359,UzmnkYD5YTA,человек в очках в помещении,да
360,V2MlQezL1IE,человек в очках в помещении,да
361,IiG80Vp4WyY,человек в очках в помещении,да
362,90cHokbZy6A,человек в очках в помещении,нет
363,InHt3sukfeg,человек в очках в помещении,нет
364,M-PQajs86Bo,человек в очках в помещении,нет
365,EgPk-mmJyS8,человек в очках в помещении,да
366,ubgCjUUmP9I,человек в красных штанах на улице,нет
367,sOUNe30PXY4,человек в красных штанах на улице,нет
368,eGTZNTfgg24,человек в красных штанах на улице,да
369,wP0jr86MNOw,человек в красных штанах на улице,да
370,ufK2mbJI0to,это человек в белом в желтых штанах,нет
371,c05oRliUOxk,это день или ночь на видео,день
372,cJYtpnf5aOM,это день или ночь на видео,день
373,9eqfQyr3J7k,это человек в черном в шляпе,нет
374,9FJwDxnlW7Y,это человек в черном в шляпе,да
375,Ni7Lqloy5Qc,это человек в черном в шляпе,да
376,MyqWp3ipXxA,это человек в черном в шляпе,нет
377,q0L4clHNIbc,это человек в черном в шляпе,да
378,xbWAmySRE88,это человек в черном в шляпе,нет
379,xbWAmySRE88,человек в черном носит часы,да
380,NcEWimHnC54,человек в синем в шляпе,да
381,Xk3KngL2ZH0,человек в синем в шляпе,нет
382,mrqSaH_FIcs,человек в синем в шляпе,нет
383,XhqFJNRt-5g,человек в синем в шляпе,да
384,z_ojmuWzMWo,человек в синем в шляпе,нет
385,xUHXFXela-0,человек в синем в шляпе,да
386,586OlQMU420,человек в синем в шляпе,да
387,x2FfKHiN_3s,человек в синем в шляпе,да
388,x1Z_3-X49HY,человек в синем носит часы,да
389,xUHXFXela-0,человек в синем носит часы,нет
390,6asjaqo0OHc,человек в синем носит часы,нет
391,xPDjkE7llg4,человек в сером в шляпе,нет
392,YgrWck47C-g,человек в сером в шляпе,нет
393,9XyrLUWZl40,человек в сером в шляпе,нет
394,xUKQWr2aLTU,человек в сером в шляпе,да
395,-y8LMGQt8uI,человек в сером в шляпе,да
396,9eqfQyr3J7k,это человек в розовом в шляпе,да
397,gQLH5G88ClE,человек в красном в шляпе,нет
398,80pIiAmVa5Q,человек в красном в шляпе,нет
399,xmvwhxB1q30,человек в красном в шляпе,нет
400,OvSf6kk07uE,человек в красном в шляпе,да
401,XKA2W2735WM,человек в красном в шляпе,да
402,_eanWnL3FtM,человек в клетчатой ​​рубашке в шляпе,нет
403,_JE5T2RKZvo,человек в клетчатой ​​рубашке в шляпе,нет
404,ybhc3-s7aYo,человек на видео в темных очках,да
405,0CTnYEE7rdo,человек в сером в шляпе,нет
406,nM_6V_Z6IwI,человек на видео носит какую-либо одежду,да
407,mnS-nMZne3I,человек на видео носит какую-либо одежду,да
408,r5cjo7N6IEY,человек на видео в кепке,нет
409,lroya8XhuPs,спортсмен носит одежду с длинными рукавами,да
410,8vcO5DRxP6c,спортсмен носит одежду с длинными рукавами,нет
411,8vcO5DRxP6c,спортсмен носит короткие рукава,да
412,3kcGcDv0NOw,спортсмен в шортах,да
413,2j-DRUk2yCs,спортсмен в шортах,да
414,LOhacn4jdT4,спортсмен в шортах,да
415,lroya8XhuPs,спортсмен носит короткие рукава,нет
416,3kcGcDv0NOw,спортсмен носит брюки,нет
417,2j-DRUk2yCs,спортсмен носит брюки,нет
418,LOhacn4jdT4,спортсмен носит брюки,нет
419,HddRC-twMLc,человек в синем носит туфли,нет
420,OZftVCeblMk,мужчина носит очки,да
421,g_qHPA0RkAY,человек в черном зажигает тыквенные огни на улице,нет
422,uE_8WuNO7cA,человек в черном зажигает тыквенные огни на улице,нет
423,uE_8WuNO7cA,человек в черном зажигает тыквенные огни в помещении,да
424,g_qHPA0RkAY,человек в черном зажигает тыквенные огни в помещении,да
425,1xQTlp0hscs,человек в черном с повязкой на глазах,нет
426,wUsmKmxxHYQ,человек в черном носит серьги,да
427,xYM6h31PrM0,человек в черном носит серьги,да
428,TMnmi7WJr_o,человек в черном носит серьги,нет
429,oB6h3DscMUw,человек в черном носит серьги,да
430,MyqWp3ipXxA,человек в черном в очках,да
431,YBuNpnthXfE,человек в черном в очках,да
432,28P5f3p_32g,человек в черном в очках,да
433,I5N4rwhRa0o,человек в черном в очках,да
434,_Af_9cK5x4E,человек в черном в очках,нет
435,ocvKEzb7OaE,человек в черном в очках,да
436,ytvIoI5uwFA,человек в черном в очках,да
437,1xQTlp0hscs,человек в черном в очках,да
438,YoJxVl_hUWg,человек в черном в очках,нет
439,N4Z9eYSu2uM,человек в черном носит шляпу,нет
440,yUC6HXP9S8A,человек в черном носит шляпу,да
441,YBuNpnthXfE,человек в черном носит шляпу,нет
442,g_KbloQigw8,человек в черном носит шляпу,да
443,28P5f3p_32g,человек в черном носит шляпу,нет
444,YoJxVl_hUWg,человек в черном носит шляпу,да
445,ocvKEzb7OaE,человек в черном носит шляпу,нет
446,oB6h3DscMUw,человек в черном носит шляпу,нет
447,G0g7vEwI0z8,человек в черном носит шляпу,нет
448,YDNEa5ZOf6c,человек в черном носит шляпу,да
449,MlkXsUDCoww,это человек в черном с длинными рукавами,нет
450,MlkXsUDCoww,это человек в черном с коротким рукавом,да
451,yUC6HXP9S8A,это человек в черном в темных очках,да
452,p-lwebxSYyo,это человек в черных брюках,нет
453,F_DHgp5hERs,человек в синем занимается спортом в помещении,да
454,F_DHgp5hERs,человек в синем занимается спортом на открытом воздухе,нет
455,XSDIekFXkv0,человек в синих штанах в любой одежде,нет
456,zUPadKgtYHw,человек в синих штанах в шляпе,нет
457,zHzKPtrgv1k,человек в синих штанах в шляпе,нет
458,Zhf052cWrv8,человек в синих штанах в шляпе,нет
459,Qs0hIRhHPVM,человек в синих штанах в шляпе,нет
460,PD9e9MVHEyU,это человек в голубых очках,нет
461,Xk3KngL2ZH0,это человек в голубых очках,да
462,z_ojmuWzMWo,это человек в голубых очках,да
463,mrqSaH_FIcs,это человек в голубых очках,да
464,UCZGbQFg6io,человек в синем носит часы на правой руке,нет
465,znhZPUF6xQw,это человек в серых шортах в шляпе,нет
466,YgrWck47C-g,это человек в сером в очках,да
467,xUKQWr2aLTU,это человек в сером в очках,нет
468,nwznKOuZM7w,это человек в сером в очках,нет
469,wOZdXVdiB04,человек в зеленом играет в игры в помещении,да
470,m1pNOYN-DoI,это человек в сером с длинными рукавами,да
471,JWb0-VdfZI4,человек в розовом играет в игры в помещении,нет
472,Y7yGeNl7POk,человек в розовом играет в игры в помещении,нет
473,45Bscg4Qe-I,это человек в фиолетовом в очках,да
474,zYN_cbLO3MU,это человек в красной футболке в шляпе,нет
475,Np43Q2E8GCE,человек в красном кладет ковер на улице,нет
476,Y76wuHBZgdU,человек в красном кладет ковер на улице,нет
477,gQLH5G88ClE,человек в красном в очках,да
